timestamp,volt_laser,volt_piezo,volt_ld
-0.01007626,1.89849,-4.499600403137952,0.0727187145774458
-0.01007126,1.89724,-4.49760509403396,0.0726949657575058
-0.01006626,1.89591,-4.495609784929968,0.0726712169375659
-0.01006126,1.89452,-4.493614475825976,0.0726474681176259
-0.01005626,1.893,-4.491619166721983,0.0726237192976859
-0.01005126,1.89145,-4.489623857617991,0.072599970477746
-0.01004626,1.8898,-4.487628548513999,0.072576221657806
-0.01004126,1.88812,-4.485633239410007,0.072552472837866
-0.01003626,1.88638,-4.483637930306014,0.0725287240179261
-0.01003126,1.88463,-4.481642621202022,0.0725049751979861
-0.01002626,1.88287,-4.47964731209803,0.0724812263780461
-0.01002126,1.8811,-4.477652002994038,0.0724574775581062
-0.01001626,1.87933,-4.475656693890046,0.0724337287381662
-0.01001126,1.87764,-4.473661384786053,0.0724099799182262
-0.01000626,1.87594,-4.4716660756820605,0.0723862310982862
-0.01000126,1.87429,-4.469670766578068,0.0723624822783463
-0.009996265,1.87266,-4.46767745278318,0.0723387572072263
-0.009991265,1.87103,-4.465682143679188,0.0723150083872863
-0.009986265,1.86941,-4.463686834575196,0.0722912595673463
-0.009981265,1.86785,-4.461691525471204,0.0722675107474064
-0.009976265,1.86627,-4.459696216367211,0.0722437619274664
-0.009971265,1.86469,-4.457700907263219,0.0722200131075264
-0.009966265,1.86308,-4.455705598159226,0.0721962642875864
-0.009961265,1.86148,-4.453710289055234,0.0721725154676465
-0.009956265,1.85985,-4.451714979951242,0.0721487666477065
-0.009951265,1.85822,-4.44971967084725,0.0721250178277665
-0.009946265,1.85655,-4.447724361743258,0.0721012690078266
-0.009941265,1.85485,-4.445729052639265,0.0720775201878866
-0.009936265,1.85311,-4.443733743535273,0.0720537713679466
-0.009931265,1.85134,-4.441738434431281,0.0720300225480067
-0.009926265,1.84948,-4.439743125327289,0.0720062737280667
-0.009921265,1.8476,-4.437747816223297,0.0719825249081267
-0.009916265,1.84565,-4.435752507119304,0.0719587760881868
-0.009911265,1.84362,-4.433757198015312,0.0719350272682468
-0.009906265,1.8416,-4.43176188891132,0.0719112784483068
-0.009901265,1.83953,-4.429766579807327,0.0718875296283668
-0.009896265,1.83753,-4.427771270703335,0.0718637808084269
-0.009891265,1.83553,-4.425775961599343,0.0718400319884869
-0.009886265,1.83365,-4.423780652495351,0.0718162831685469
-0.009881265,1.83184,-4.421785343391359,0.071792534348607
-0.009876265,1.83012,-4.419790034287367,0.071768785528667
-0.009871265,1.82844,-4.417794725183374,0.071745036708727
-0.009866265,1.82686,-4.415799416079381,0.0717212878887871
-0.009861265,1.82533,-4.413804106975389,0.0716975390688471
-0.009856265,1.82381,-4.411808797871397,0.0716737902489071
-0.009851265,1.82223,-4.409813488767405,0.0716500414289672
-0.009846265,1.82065,-4.407818179663413,0.0716262926090272
-0.009841265,1.81898,-4.405822870559421,0.0716025437890872
-0.009836265,1.81724,-4.4038275614554285,0.0715787949691473
-0.009831265,1.8154,-4.401832252351436,0.0715550461492073
-0.009826265,1.81349,-4.399836943247444,0.0715312973292673
-0.009821265,1.81149,-4.397841634143451,0.0715075485093274
-0.009816265,1.80947,-4.395846325039459,0.0714837996893874
-0.009811265,1.80738,-4.393851015935467,0.0714600508694474
-0.009806265,1.80529,-4.391855706831475,0.0714363020495075
-0.009801265,1.80317,-4.389860397727483,0.0714125532295675
-0.009796265,1.80103,-4.3878650886234905,0.0713888044096275
-0.009791265,1.79892,-4.385869779519498,0.0713650555896876
-0.009786265,1.7968,-4.383874470415506,0.0713413067697476
-0.009781265,1.79471,-4.381879161311514,0.0713175579498076
-0.009776265,1.79264,-4.379883852207521,0.0712938091298676
-0.009771265,1.79059,-4.377888543103529,0.0712700603099277
-0.009766265,1.78857,-4.375893233999537,0.0712463114899877
-0.009761265,1.78659,-4.3738979248955445,0.0712225626700477
-0.009756265,1.78459,-4.371902615791552,0.0711988138501078
-0.009751265,1.78259,-4.36990730668756,0.0711750650301678
-0.009746265,1.78057,-4.367911997583568,0.0711513162102278
-0.009741265,1.77848,-4.365916688479576,0.0711275673902879
-0.009736265,1.77629,-4.363921379375583,0.0711038185703479
-0.009731265,1.77402,-4.361926070271591,0.0710800697504079
-0.009726265,1.77167,-4.359930761167599,0.071056320930468
-0.009721265,1.76923,-4.357935452063606,0.071032572110528
-0.009716265,1.76669,-4.355940142959614,0.071008823290588
-0.009711265,1.76409,-4.353944833855622,0.0709850744706481
-0.009706265,1.76144,-4.35194952475163,0.0709613256507081
-0.009701265,1.75881,-4.349954215647638,0.0709375768307681
-0.009696265,1.75618,-4.347958906543646,0.0709138280108282
-0.009691265,1.7536,-4.345963597439653,0.0708900791908882
-0.009686265,1.75105,-4.3439682883356605,0.0708663303709482
-0.009681265,1.74853,-4.341972979231668,0.0708425815510083
-0.009676265,1.74607,-4.339977670127676,0.0708188327310683
-0.009671265,1.74368,-4.337982361023684,0.0707950839111283
-0.009666265,1.74133,-4.335987051919692,0.0707713350911884
-0.009661265,1.739,-4.3339917428157,0.0707475862712484
-0.009656265,1.73672,-4.331996433711708,0.0707238374513084
-0.009651265,1.73452,-4.330001124607715,0.0707000886313684
-0.009646265,1.73235,-4.328005815503722,0.0706763398114285
-0.009641265,1.73028,-4.32601050639973,0.0706525909914885
-0.009636265,1.72831,-4.324015197295738,0.0706288421715485
-0.009631265,1.72638,-4.322019888191746,0.0706050933516086
-0.009626265,1.72452,-4.320024579087754,0.0705813445316686
-0.009621265,1.7227,-4.318029269983762,0.0705575957117286
