timestamp,photodiode,volt_piezo,volt_ld,frequencies
-0.01007626,1.89849,-4.499600403137952,0.0727187145774458,377103990714422.8
-0.01007126,1.89724,-4.49760509403396,0.0726949657575058,377103991921229.25
-0.01006626,1.89591,-4.495609784929968,0.0726712169375659,377103993128073.7
-0.01006126,1.89452,-4.493614475825976,0.0726474681176259,377103994334956.1
-0.01005626,1.893,-4.491619166721983,0.0726237192976859,377103995541876.56
-0.01005126,1.89145,-4.489623857617991,0.072599970477746,377103996748835.06
-0.01004626,1.8898,-4.487628548513999,0.072576221657806,377103997955831.56
-0.01004126,1.88812,-4.485633239410007,0.072552472837866,377103999162866.1
-0.01003626,1.88638,-4.483637930306014,0.0725287240179261,377104000369938.6
-0.01003126,1.88463,-4.481642621202022,0.0725049751979861,377104001577049.2
-0.01002626,1.88287,-4.47964731209803,0.0724812263780461,377104002784197.8
-0.01002126,1.8811,-4.477652002994038,0.0724574775581062,377104003991384.4
-0.01001626,1.87933,-4.475656693890046,0.0724337287381662,377104005198609.0
-0.01001126,1.87764,-4.473661384786053,0.0724099799182262,377104006405871.6
-0.01000626,1.87594,-4.4716660756820605,0.0723862310982862,377104007613172.3
-0.01000126,1.87429,-4.469670766578068,0.0723624822783463,377104008820511.0
-0.009996265,1.87266,-4.46767745278318,0.0723387572072263,377104010026680.25
-0.009991265,1.87103,-4.465682143679188,0.0723150083872863,377104011234094.94
-0.009986265,1.86941,-4.463686834575196,0.0722912595673463,377104012441547.6
-0.009981265,1.86785,-4.461691525471204,0.0722675107474064,377104013649038.4
-0.009976265,1.86627,-4.459696216367211,0.0722437619274664,377104014856567.06
-0.009971265,1.86469,-4.457700907263219,0.0722200131075264,377104016064133.8
-0.009966265,1.86308,-4.455705598159226,0.0721962642875864,377104017271738.6
-0.009961265,1.86148,-4.453710289055234,0.0721725154676465,377104018479381.4
-0.009956265,1.85985,-4.451714979951242,0.0721487666477065,377104019687062.2
-0.009951265,1.85822,-4.44971967084725,0.0721250178277665,377104020894781.0
-0.009946265,1.85655,-4.447724361743258,0.0721012690078266,377104022102537.9
-0.009941265,1.85485,-4.445729052639265,0.0720775201878866,377104023310332.75
-0.009936265,1.85311,-4.443733743535273,0.0720537713679466,377104024518165.6
-0.009931265,1.85134,-4.441738434431281,0.0720300225480067,377104025726036.5
-0.009926265,1.84948,-4.439743125327289,0.0720062737280667,377104026933945.44
-0.009921265,1.8476,-4.437747816223297,0.0719825249081267,377104028141892.4
