indices,timestamp,pd_peaks,piezo_peaks,ld_peaks,freq,lor_A,lor_mean,lor_gamma,lor_off,lor_d_A,lor_d_mean,lor_d_gamma,lor_d_off
1772,-0.01355277,1.01424,4.780432749602354,0.0517777142667485,377108945610922.8,0.06684704171424438,4.786309871320806,0.03552552988292863,-0.007500514397699874,0.0010098585981018963,0.00023606996431709264,0.0009490566239799412,0.0011139867272790427
1997,-0.01242777,0.878065,4.9821439946917865,0.0464071645097687,377109126401922.8,0.12226641800892363,4.980104739695317,0.027994806478422726,-0.02128982825819598,0.0018537110294327113,0.0002745358207085179,0.0008792819626791769,0.0019225499549296078
2221,-0.01130777,0.832938,5.182958745358599,0.04106048386282,377109307192922.8,0.12050410535597444,5.1831161928501235,0.030355903073700216,-0.0596342147357732,0.0010901816891570385,0.00015008189061921302,0.0005361174150488467,0.0011808137314622614
4612,0.0006472315,1.19002,7.3264771787906255,-0.0160105653820848,377111224766631.8,0.022621892154780054,7.328175564222471,0.028141158286355106,-0.004185760110478776,0.00037079899290430905,0.00029643774977454923,0.0009531754062760577,0.00038537609519607996
5629,0.005732231,0.992196,8.238211916945417,-0.0402854478967225,377112041422631.8,0.05325859954085028,8.241350345790934,0.03331472584643688,-0.015632876484245786,0.0005703724285097271,0.00017403643187840096,0.0006636117807356775,0.0006261959168206581
